,PrecioActual,metros,habitaciones,ascensor,localizacion,plantaN,zona_id,tipo_inmueble_id
396,300000,80,2.0,1,1,1.0,21,5
397,2400000,165,3.0,1,1,3.0,3,5
398,353000,67,2.0,1,1,0.0,8,5
399,2675000,587,6.0,0,1,0.0,12,1
400,548000,119,2.0,1,1,1.0,5,5
401,820000,114,2.0,1,1,2.0,5,5
402,253500,72,3.0,1,1,1.0,10,5
403,1650000,151,4.0,1,1,3.0,5,5
404,360000,120,2.0,1,1,2.0,16,3
405,740000,120,4.0,1,1,6.0,17,5
406,420000,140,5.0,0,1,3.0,8,5
408,100000,44,1.0,0,1,0.0,21,5
409,369000,109,4.0,1,1,7.0,11,5
410,3599999,358,7.0,1,1,1.0,3,5
411,375000,66,1.0,0,1,1.0,5,5
412,2200000,510,5.0,0,1,0.0,12,1
413,215000,52,1.0,0,1,2.0,4,5
414,2950000,580,6.0,0,1,0.0,12,1
415,380000,80,3.0,1,1,0.0,3,5
416,315000,100,4.0,0,1,0.0,13,5
417,565000,84,3.0,1,1,1.0,5,5
418,152000,84,3.0,0,1,3.0,10,5
419,189990,45,1.0,0,1,0.0,1,5
420,848000,228,5.0,0,1,0.0,16,2
421,230000,85,3.0,0,1,3.0,16,5
422,899000,62,1.0,1,1,3.0,3,5
423,295000,93,3.0,1,1,1.0,4,5
424,1420000,107,2.0,1,1,8.0,5,5
425,360000,110,3.0,1,1,1.0,19,5
426,232000,82,3.0,1,1,1.0,13,5
427,4650000,293,4.0,0,1,5.0,3,5
428,1350000,100,3.0,1,1,7.0,6,6
429,1349000,120,2.0,1,0,1.0,3,5
430,1150000,138,3.0,1,1,3.0,5,5
431,1675000,220,3.0,1,1,2.0,5,5
432,349970,69,2.0,1,1,2.0,17,5
433,725000,97,3.0,0,1,5.0,5,5
434,900000,110,2.0,1,1,2.0,6,5
435,510000,53,1.0,1,1,4.0,17,5
436,445000,85,1.0,1,1,5.0,10,5
437,538000,110,2.0,1,1,4.0,2,6
438,498000,69,2.0,1,1,3.0,5,6
439,474000,77,1.0,1,1,1.0,9,5
440,2990000,602,7.0,0,1,0.0,12,1
441,1150000,100,2.0,1,1,6.0,7,6
442,480000,110,3.0,0,1,3.0,5,5
443,225000,55,2.0,0,1,1.0,17,5
444,235750,72,2.0,1,1,0.0,18,5
445,596000,76,1.0,1,0,3.0,5,5
446,553000,87,2.0,1,1,1.0,10,5
447,480000,126,3.0,0,1,0.0,12,1
448,750000,320,8.0,1,1,0.0,10,5
449,1650000,153,2.0,1,1,4.0,3,5
450,2259000,197,3.0,1,1,3.0,3,5
451,899000,199,5.0,0,1,1.0,5,5
452,875000,159,3.0,1,1,1.0,5,5
453,300000,109,4.0,1,1,1.0,10,5
454,1769000,162,2.0,1,1,6.0,3,6
456,1680000,186,3.0,1,1,3.0,7,5
457,375000,94,3.0,1,1,0.0,19,5
458,2800000,281,4.0,1,1,0.5,3,5
459,815000,187,6.0,0,1,0.0,9,2
460,269000,84,3.0,0,1,4.0,9,5
461,209000,52,1.0,1,1,0.0,17,5
462,1335000,195,3.0,1,1,2.0,12,5
464,320000,59,2.0,0,1,-1.0,3,5
466,365000,70,2.0,1,1,3.0,9,5
468,375000,72,2.0,1,1,2.0,17,5
469,3500000,310,5.0,1,1,1.0,6,5
470,460000,85,2.0,1,1,2.0,5,5
471,1489950,137,3.0,1,1,3.0,3,5
473,650000,101,5.0,1,1,1.0,5,5
474,1495000,206,3.0,1,1,0.0,15,5
475,795000,95,2.0,1,1,1.0,7,5
476,290500,81,3.0,0,1,4.0,8,5
477,950000,145,4.0,1,1,2.0,3,5
478,1149000,119,2.0,1,0,3.0,15,5
479,1870000,460,7.0,0,1,0.0,10,2
480,1399000,131,2.0,1,1,1.0,3,5
481,176000,37,1.0,0,0,-1.0,1,5
482,960000,138,3.0,1,1,7.0,9,6
483,250000,100,4.0,1,1,5.0,18,5
484,215000,55,2.0,1,1,0.0,13,5
485,4315000,459,5.0,1,1,2.0,7,5
486,1240000,293,4.0,1,1,8.0,10,6
487,350000,65,3.0,0,1,4.0,8,5
488,350000,51,1.0,1,0,1.0,5,5
489,1890000,385,5.0,0,1,0.0,10,2
490,375000,127,3.0,1,1,3.0,21,5
491,680000,93,3.0,1,0,6.0,3,5
492,590000,78,3.0,1,1,1.0,17,5
493,1359000,101,2.0,1,0,1.0,3,5
494,200000,60,1.0,0,1,0.0,18,5
495,3780000,306,4.0,1,1,5.0,15,5
496,145000,31,1.0,0,0,1.0,17,5
497,986210,133,2.0,1,1,9.0,7,6
498,1699990,200,7.0,1,1,1.0,5,5
499,2100000,209,3.0,1,1,1.0,15,5
500,435000,64,2.0,1,1,4.0,16,5
501,870000,149,4.0,1,1,0.0,2,3
